case_id,domain,category,provider,variant,raw_text,prompt_used,expected_pronunciation,hypothesis,wer,per,ttfb_ms,total_ms,cold,status
rx_001,Pharmacy,dosages,rime,default,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210","Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,"TAB. Of Meckin 625 milligrams 1 to 01 by 5 days. Dr. Reddy's lab, Hyderabad. pH 98765,  43210.",88.89,96.3,1312.87,2641.89,True,SUCCESS
rx_001,Pharmacy,dosages,rime,tuned,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,tablet of men 625 milligram 101 times five days dr ready's lab hydrobud phone 9 8 7 6 5 4 3 2 1 0,74.07,0.0,1637.59,7465.15,False,SUCCESS
rx_001,Pharmacy,dosages,openai,default,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210","Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,,,96.3,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_001,Pharmacy,dosages,openai,tuned,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,,,0.0,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_001,Pharmacy,dosages,elevenlabs,default,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210","Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,,,96.3,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_001,Pharmacy,dosages,elevenlabs,tuned,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,,,0.0,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_002,Pharmacy,quantities,rime,default,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,"SEP, Azifil 200 milligrams, 5 milliliters, 5 milliliters BD, MFG, Alembic, EXP, 03 slash 26.",94.74,94.74,1248.23,2264.0,False,SUCCESS
rx_002,Pharmacy,quantities,rime,tuned,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,"Syrup Azevo 200 milligram per 5 milliliter, 5 milliliter twice,  daily manufactured by Alembic Expre March 26.",42.11,0.0,1331.8,2674.42,False,SUCCESS
rx_002,Pharmacy,quantities,openai,default,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,,,94.74,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_002,Pharmacy,quantities,openai,tuned,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,,,0.0,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_002,Pharmacy,quantities,elevenlabs,default,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,,,94.74,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_002,Pharmacy,quantities,elevenlabs,tuned,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,,,0.0,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
